latitude,longitude,
47.71199,7.67945,"{ lat: 49.31616,  lng: 8.5579 },"
47.71115,7.68109,"{ lat: 49.31616,  lng: 8.5579 },"
47.70998,7.68167,"{ lat: 49.31616,  lng: 8.5579 },"
47.70937,7.6845,"{ lat: 49.31616,  lng: 8.5579 },"
47.70789,7.68254,"{ lat: 49.31616,  lng: 8.5579 },"
47.70586,7.68452,"{ lat: 49.31616,  lng: 8.5579 },"
47.70554,7.68604,"{ lat: 49.31616,  lng: 8.5579 },"
47.70679,7.68793,"{ lat: 49.31616,  lng: 8.5579 },"
47.70616,7.6911,"{ lat: 49.31616,  lng: 8.5579 },"
47.70464,7.69312,"{ lat: 49.31616,  lng: 8.5579 },"
47.70503,7.69496,"{ lat: 49.31616,  lng: 8.5579 },"
47.70428,7.70072,"{ lat: 49.31616,  lng: 8.5579 },"
47.70509,7.70267,"{ lat: 49.31616,  lng: 8.5579 },"
47.70419,7.70263,"{ lat: 49.31616,  lng: 8.5579 },"
47.70343,7.70408,"{ lat: 49.31616,  lng: 8.5579 },"
47.70248,7.70861,"{ lat: 49.31616,  lng: 8.5579 },"
47.70439,7.71271,"{ lat: 49.31616,  lng: 8.5579 },"
47.70257,7.71317,"{ lat: 49.31616,  lng: 8.5579 },"
47.70312,7.72177,"{ lat: 49.31616,  lng: 8.5579 },"
47.70219,7.72291,"{ lat: 49.31616,  lng: 8.5579 },"
47.70187,7.72507,"{ lat: 49.31616,  lng: 8.5579 },"
47.70264,7.7261,"{ lat: 49.31616,  lng: 8.5579 },"
47.70399,7.72489,"{ lat: 49.31616,  lng: 8.5579 },"
47.70421,7.72879,"{ lat: 49.31616,  lng: 8.5579 },"
47.70744,7.72947,"{ lat: 49.31616,  lng: 8.5579 },"
47.7093,7.73289,"{ lat: 49.31616,  lng: 8.5579 },"
47.71192,7.73336,"{ lat: 49.31616,  lng: 8.5579 },"
47.71223,7.73541,"{ lat: 49.31616,  lng: 8.5579 },"
47.71325,7.73661,"{ lat: 49.31616,  lng: 8.5579 },"
47.71149,7.739,"{ lat: 49.31616,  lng: 8.5579 },"
47.71224,7.74119,"{ lat: 49.31616,  lng: 8.5579 },"
47.71203,7.74638,"{ lat: 49.31616,  lng: 8.5579 },"
47.71121,7.74736,"{ lat: 49.31616,  lng: 8.5579 },"
47.71191,7.75128,"{ lat: 49.31616,  lng: 8.5579 },"
47.71326,7.75333,"{ lat: 49.31616,  lng: 8.5579 },"
47.713,7.75457,"{ lat: 49.31616,  lng: 8.5579 },"
47.71362,7.75651,"{ lat: 49.31616,  lng: 8.5579 },"
47.71739,7.75524,"{ lat: 49.31616,  lng: 8.5579 },"
47.71545,7.75676,"{ lat: 49.31616,  lng: 8.5579 },"
47.7144,7.75938,"{ lat: 49.31616,  lng: 8.5579 },"
47.71026,7.76144,"{ lat: 49.31616,  lng: 8.5579 },"
47.70941,7.7643,"{ lat: 49.31616,  lng: 8.5579 },"
47.71151,7.76646,"{ lat: 49.31616,  lng: 8.5579 },"
47.71229,7.76989,"{ lat: 49.31616,  lng: 8.5579 },"
47.71506,7.77183,"{ lat: 49.31616,  lng: 8.5579 },"
47.71748,7.77199,"{ lat: 49.31616,  lng: 8.5579 },"
47.72058,7.76982,"{ lat: 49.31616,  lng: 8.5579 },"
47.72128,7.77154,"{ lat: 49.31616,  lng: 8.5579 },"
47.72301,7.77243,"{ lat: 49.31616,  lng: 8.5579 },"
47.72269,7.77452,"{ lat: 49.31616,  lng: 8.5579 },"
47.72206,7.7749,"{ lat: 49.31616,  lng: 8.5579 },"
47.72222,7.77729,"{ lat: 49.31616,  lng: 8.5579 },"
47.72119,7.77807,"{ lat: 49.31616,  lng: 8.5579 },"
47.72196,7.77987,"{ lat: 49.31616,  lng: 8.5579 },"
47.72147,7.78207,"{ lat: 49.31616,  lng: 8.5579 },"
47.7191,7.78192,"{ lat: 49.31616,  lng: 8.5579 },"
47.72023,7.78623,"{ lat: 49.31616,  lng: 8.5579 },"
47.71954,7.78883,"{ lat: 49.31616,  lng: 8.5579 },"
47.7214,7.78829,"{ lat: 49.31616,  lng: 8.5579 },"
47.71919,7.79512,"{ lat: 49.31616,  lng: 8.5579 },"
47.7175,7.79367,"{ lat: 49.31616,  lng: 8.5579 },"
47.71541,7.79387,"{ lat: 49.31616,  lng: 8.5579 },"
47.71307,7.79562,"{ lat: 49.31616,  lng: 8.5579 },"
47.71039,7.79564,"{ lat: 49.31616,  lng: 8.5579 },"
47.70669,7.7993,"{ lat: 49.31616,  lng: 8.5579 },"
47.70486,7.79965,"{ lat: 49.31616,  lng: 8.5579 },"
47.70192,7.79896,"{ lat: 49.31616,  lng: 8.5579 },"
47.70055,7.79645,"{ lat: 49.31616,  lng: 8.5579 },"
47.69878,7.79723,"{ lat: 49.31616,  lng: 8.5579 },"
47.69595,7.79596,"{ lat: 49.31616,  lng: 8.5579 },"
47.69512,7.79659,"{ lat: 49.31616,  lng: 8.5579 },"
47.69448,7.79938,"{ lat: 49.31616,  lng: 8.5579 },"
47.69325,7.80015,"{ lat: 49.31616,  lng: 8.5579 },"
47.68932,7.79793,"{ lat: 49.31616,  lng: 8.5579 },"
47.68725,7.7965,"{ lat: 49.31616,  lng: 8.5579 },"
47.67997,7.79843,"{ lat: 49.31616,  lng: 8.5579 },"
47.67613,7.80009,"{ lat: 49.31616,  lng: 8.5579 },"
47.67274,7.80363,"{ lat: 49.31616,  lng: 8.5579 },"
47.66891,7.80179,"{ lat: 49.31616,  lng: 8.5579 },"
47.65907,7.79891,"{ lat: 49.31616,  lng: 8.5579 },"
47.65362,7.7979,"{ lat: 49.31616,  lng: 8.5579 },"
47.64881,7.80038,"{ lat: 49.31616,  lng: 8.5579 },"
47.64725,7.80496,"{ lat: 49.31616,  lng: 8.5579 },"
47.64799,7.81553,"{ lat: 49.31616,  lng: 8.5579 },"
47.64726,7.81624,"{ lat: 49.31616,  lng: 8.5579 },"
47.64715,7.81898,"{ lat: 49.31616,  lng: 8.5579 },"
47.64873,7.82407,"{ lat: 49.31616,  lng: 8.5579 },"
47.64588,7.82688,"{ lat: 49.31616,  lng: 8.5579 },"
47.6388,7.83933,"{ lat: 49.31616,  lng: 8.5579 },"
47.6374,7.8426,"{ lat: 49.31616,  lng: 8.5579 },"
47.63428,7.84545,"{ lat: 49.31616,  lng: 8.5579 },"
47.63011,7.85213,"{ lat: 49.31616,  lng: 8.5579 },"
47.6256,7.85189,"{ lat: 49.31616,  lng: 8.5579 },"
47.61554,7.8571,"{ lat: 49.31616,  lng: 8.5579 },"
47.61167,7.86452,"{ lat: 49.31616,  lng: 8.5579 },"
47.60776,7.86939,"{ lat: 49.31616,  lng: 8.5579 },"
47.60254,7.87064,"{ lat: 49.31616,  lng: 8.5579 },"
47.59814,7.86643,"{ lat: 49.31616,  lng: 8.5579 },"
47.59084,7.86638,"{ lat: 49.31616,  lng: 8.5579 },"
47.59099,7.86789,"{ lat: 49.31616,  lng: 8.5579 },"
47.5903,7.86825,"{ lat: 49.31616,  lng: 8.5579 },"
47.58679,7.85068,"{ lat: 49.31616,  lng: 8.5579 },"
47.58648,7.84614,"{ lat: 49.31616,  lng: 8.5579 },"
47.58762,7.83599,"{ lat: 49.31616,  lng: 8.5579 },"
47.58917,7.83589,"{ lat: 49.31616,  lng: 8.5579 },"
47.58979,7.82922,"{ lat: 49.31616,  lng: 8.5579 },"
47.59098,7.82874,"{ lat: 49.31616,  lng: 8.5579 },"
47.59122,7.82506,"{ lat: 49.31616,  lng: 8.5579 },"
47.59061,7.82092,"{ lat: 49.31616,  lng: 8.5579 },"
